time,open,high,low,close,volume,trades
2026-05-06T12:00:00Z,312.96,323.79,302.17,318.02,18751.6999,0
2026-05-06T16:00:00Z,318.0,320.91,310.59,312.95,15524.5148,0
2026-05-06T20:00:00Z,312.92,315.9,304.89,309.11,12290.2823,0
2026-05-07T00:00:00Z,309.12,310.8,303.41,306.33,12879.2105,0
2026-05-07T04:00:00Z,306.34,313.47,305.13,311.74,12220.0329,0
2026-05-07T08:00:00Z,311.76,315.52,304.97,313.52,12239.7917,0
2026-05-07T12:00:00Z,313.46,315.67,304.5,304.78,15440.0506,0
2026-05-07T16:00:00Z,304.86,311.82,302.81,305.3,13987.7209,0
2026-05-07T20:00:00Z,305.35,307.52,296.86,302.41,17236.9737,0
2026-05-08T00:00:00Z,302.42,304.34,298.84,302.39,12066.9461,0
2026-05-08T04:00:00Z,302.39,305.36,299.84,303.33,10758.295,0
2026-05-08T08:00:00Z,303.32,313.31,303.08,308.68,16162.6119,0
2026-05-08T12:00:00Z,308.65,314.49,305.54,311.18,14478.6525,0
2026-05-08T16:00:00Z,311.26,318.02,309.78,313.29,11598.8102,0
2026-05-08T20:00:00Z,313.24,318.39,312.21,316.53,13303.2301,0
2026-05-09T00:00:00Z,316.53,317.93,310.86,311.95,9817.0617,0
2026-05-09T04:00:00Z,311.87,314.46,309.35,313.12,9832.0217,0
2026-05-09T08:00:00Z,313.09,314.28,308.28,309.78,9242.5608,0
2026-05-09T12:00:00Z,309.67,310.8,305.43,306.72,10361.4125,0
2026-05-09T16:00:00Z,306.8,311.98,305.98,310.98,7538.8839,0
2026-05-09T20:00:00Z,311.02,311.37,307.55,307.82,7140.0936,0
2026-05-10T00:00:00Z,307.84,314.55,306.4,313.35,7699.3279,0
2026-05-10T04:00:00Z,313.47,314.27,308.92,313.42,7684.0774,0
2026-05-10T08:00:00Z,313.39,316.3,310.74,314.24,8530.2887,0
2026-05-10T12:00:00Z,314.23,328.9,312.9,318.33,12953.9066,0
2026-05-10T16:00:00Z,318.35,333.66,317.7,329.45,13063.41,0
2026-05-10T20:00:00Z,329.35,331.01,313.0,320.55,13597.8324,0
